start_x,start_y,start_z,end_x,end_y,end_z,segment_start,segment_end,segment_length
479903.86099999957,5923358.379899999,-13,479902.89910000004,5923358.6532000005,-12,14749.727599,14751.141793,1.414194
479902.89910000004,5923358.6532000005,-12,479871.2176000001,5923367.8872,-12,14751.141793,14784.141554,32.999761
479871.2176000001,5923367.8872,-12,479838.7065000003,5923377.8375,-12,14784.141554,14818.141261,33.999707
479838.7065000003,5923377.8375,-12,479812.0362,5923386.363299999,-12,14818.141261,14846.141157,27.999896
479812.0362,5923386.363299999,-12,479785.4631000003,5923395.1872000005,-12,14846.141157,14874.140994,27.999837
479785.4631000003,5923395.1872000005,-12,479758.0469000004,5923404.6394,-12,14874.140994,14903.140858,28.999864
479758.0469000004,5923404.6394,-12,479731.6819000002,5923414.0669,-12,14903.140858,14931.140697,27.999839
479731.6819000002,5923414.0669,-12,479701.6819000002,5923425.2019,-12,14931.140697,14963.140513,31.999816
479701.6819000002,5923425.2019,-12,479671.8269999996,5923436.720000001,-12,14963.140513,14995.140226,31.999714
479671.8269999996,5923436.720000001,-12,479642.1218999997,5923448.6193,-12,14995.140226,15027.140012,31.999786
479642.1218999997,5923448.6193,-12,479612.5714999996,5923460.8978,-12,15027.140012,15059.139820,31.999808
479612.5714999996,5923460.8978,-12,479583.1807000004,5923473.5535,-12,15059.139820,15091.139599,31.999779
479583.1807000004,5923473.5535,-12,479553.95430000033,5923486.5844,-12,15091.139599,15123.139393,31.999794
479553.95430000033,5923486.5844,-12,479524.8970999997,5923499.988299999,-12,15123.139393,15155.139165,31.999772
479524.8970999997,5923499.988299999,-12,479496.01379999984,5923513.7631,-12,15155.139165,15187.139011,31.999846
479496.01379999984,5923513.7631,-12,479466.4151999997,5923528.3542,-12,15187.139011,15220.138668,32.999656
479466.4151999997,5923528.3542,-12,479437.8997999998,5923542.8752,-12,15220.138668,15252.138472,31.999804
479437.8997999998,5923542.8752,-12,479409.5725999996,5923557.76,-12,15252.138472,15284.138277,31.999805
479409.5725999996,5923557.76,-12,479381.43819999974,5923573.006100001,-12,15284.138277,15316.138090,31.999813
479381.43819999974,5923573.006100001,-12,479351.7619000003,5923589.598200001,-12,15316.138090,15350.137804,33.999714
